date,Raptors,Celtics,Knicks,Nets,Sixers
1947,,22,33,,
1948,,20,26,,
1949,,25,32,,
1950,,22,40,,51
1951,,39,36,,32
1952,,39,37,,40
1953,,46,47,,47
1954,,42,44,,42
1955,,36,38,,43
1956,,39,35,,35
1957,,44,36,,38
1958,,49,35,,41
1959,,52,40,,35
1960,,59,27,,45
1961,,57,21,,38
1962,,60,29,,41
1963,,58,21,,48
1964,,59,22,,34
1965,,62,31,,40
1966,,54,30,,55
1967,,60,36,,68
1968,,54,43,36,62
1969,,48,54,17,55
1970,,34,60,39,42
1971,,44,52,40,47
1972,,56,48,44,30
1973,,68,57,30,9
1974,,56,49,55,25
1975,,60,40,58,34
1976,,54,38,55,46
1977,,44,40,22,50
1978,,32,43,24,55
1979,,29,31,37,47
1980,,61,39,34,59
1981,,62,50,24,62
1982,,63,33,44,58
1983,,56,44,49,65
1984,,62,47,45,52
1985,,63,24,42,58
1986,,67,23,39,54
1987,,59,24,24,45
1988,,57,38,19,36
1989,,42,52,26,46
1990,,52,45,17,53
1991,,56,39,26,44
1992,,51,51,40,35
1993,,48,60,43,26
1994,,32,57,45,25
1995,,35,55,30,24
1996,21,33,47,30,18
1997,30,15,57,26,22
1998,16,36,43,43,31
1999,23,19,27,16,28
2000,45,35,50,31,49
2001,47,36,48,26,56
2002,42,49,30,52,43
2003,24,44,37,49,48
2004,33,36,39,47,33
2005,33,45,33,42,43
2006,27,33,23,49,38
2007,47,24,33,41,35
2008,41,66,23,34,40
2009,33,62,32,34,41
2010,40,50,29,12,27
2011,22,56,42,24,41
2012,23,39,36,22,35
2013,34,41,54,49,34
2014,48,25,37,44,19
2015,49,40,17,38,18
2016,56,48,32,21,10
